id, name, wikiloc, mendikat, altitude, active
10262,Mendixuri,http://www.wikiloc.com/wikiloc/find.do?q=mendixuri,/com/mount/1147,1194,1
10166,Mendizar,http://www.wikiloc.com/wikiloc/find.do?q=mendizar,/com/mount/1148,1319,1
10071,Mendurro,http://www.wikiloc.com/wikiloc/find.do?q=mendurro,/com/mount/1149,929,1
10040,Mergelu,http://www.wikiloc.com/wikiloc/find.do?q=mergelu,/com/mount/1150,914,1
10148,Migoleta,http://www.wikiloc.com/wikiloc/find.do?q=migoleta,/com/mount/1151,1405,1
10141,Monjardin,http://www.wikiloc.com/wikiloc/find.do?q=monjardin,/com/mount/1152,894,1
10136,Mortxe,http://www.wikiloc.com/wikiloc/find.do?q=mortxe,/com/mount/1154,1123,1
10149,Mozoloandi,http://www.wikiloc.com/wikiloc/find.do?q=mozoloandi,/com/mount/1155,1243,1
10169,Okoro,http://www.wikiloc.com/wikiloc/find.do?q=okoro,/com/mount/1156,1259,1
10086,Orlagatu,http://www.wikiloc.com/wikiloc/find.do?q=orlagatu,/com/mount/1157,1133,1
10129,Olotoki,http://www.wikiloc.com/wikiloc/find.do?q=olotoki,/com/mount/1158,1271,1
10202,Belbún / El Borreguil,http://www.wikiloc.com/wikiloc/find.do?q=belbun+/+el+borreguil,/com/mount/1159,1424,1
10569,Orhi,http://www.wikiloc.com/wikiloc/find.do?q=orhi,/com/mount/1160,2019,1
10209,Ortzantzurieta,http://www.wikiloc.com/wikiloc/find.do?q=ortzantzurieta,/com/mount/1162,1566,1
10140,Bizkai,http://www.wikiloc.com/wikiloc/find.do?q=bizkai,/com/mount/1163,823,1
10167,Ortxikasko,http://www.wikiloc.com/wikiloc/find.do?q=ortxikasko,/com/mount/1164,978,1
10105,Oteitzoiana,http://www.wikiloc.com/wikiloc/find.do?q=oteitzoiana,/com/mount/1165,685,1
10565,Otsogorrigaña,http://www.wikiloc.com/wikiloc/find.do?q=otsogorrigana,/com/mount/1166,1920,1
10192,Okomendia / Montesanto,http://www.wikiloc.com/wikiloc/find.do?q=okomendia+/+montesanto,/com/mount/1168,1258,1
10103,Pagadiandieta,http://www.wikiloc.com/wikiloc/find.do?q=pagadiandieta,/com/mount/1169,839,1
9701,Milpiribil,http://www.wikiloc.com/wikiloc/find.do?q=milpiribil,/com/mount/117,1277,1
10053,Baxa,http://www.wikiloc.com/wikiloc/find.do?q=baxa,/com/mount/1171,1166,1
10241,Piskerra,http://www.wikiloc.com/wikiloc/find.do?q=piskerra,/com/mount/1172,466,1
10079,Puntabarrena,http://www.wikiloc.com/wikiloc/find.do?q=puntabarrena,/com/mount/1173,1482,1
10072,Puttarri,http://www.wikiloc.com/wikiloc/find.do?q=puttarri,/com/mount/1174,1299,1
10201,Saioa,http://www.wikiloc.com/wikiloc/find.do?q=saioa,/com/mount/1175,1418,1
10165,Ezkaba,http://www.wikiloc.com/wikiloc/find.do?q=ezkaba,/com/mount/1176,895,1
10156,Arriaundi,http://www.wikiloc.com/wikiloc/find.do?q=arriaundi,/com/mount/1177,942,1
10127,San Pedro,http://www.wikiloc.com/wikiloc/find.do?q=san+pedro,/com/mount/1178,889,1
9196,San Kristobal,http://www.wikiloc.com/wikiloc/find.do?q=san+kristobal,/com/mount/1179,963,1
10041,San Pelaio,http://www.wikiloc.com/wikiloc/find.do?q=san+pelaio,/com/mount/1179,963,1
10028,San Quirico,http://www.wikiloc.com/wikiloc/find.do?q=san+quirico,/com/mount/1180,1181,1
10004,Santa Agata,http://www.wikiloc.com/wikiloc/find.do?q=santa+agata,/com/mount/1181,863,1
10056,Malkorraundi / Santa Barbara,http://www.wikiloc.com/wikiloc/find.do?q=malkorraundi+/+santa+barbara,/com/mount/1182,856,1
10002,Santa Barbara,http://www.wikiloc.com/wikiloc/find.do?q=santa+barbara,/com/mount/1183,1012,1
10006,Saratsa,http://www.wikiloc.com/wikiloc/find.do?q=saratsa,/com/mount/1184,1173,1
10110,Larrondoa,http://www.wikiloc.com/wikiloc/find.do?q=larrondoa,/com/mount/1185,1188,1
10172,Seseta,http://www.wikiloc.com/wikiloc/find.do?q=seseta,/com/mount/1186,1183,1
10101,Seanbe,http://www.wikiloc.com/wikiloc/find.do?q=seanbe,/com/mount/1188,1023,1
10094,Txutxu,http://www.wikiloc.com/wikiloc/find.do?q=txutxu,/com/mount/1189,930,1
9241,Raso,http://www.wikiloc.com/wikiloc/find.do?q=raso,/com/mount/119,1051,1
10014,Tangorri,http://www.wikiloc.com/wikiloc/find.do?q=tangorri,/com/mount/1191,845,1
10111,Egietako Gain,http://www.wikiloc.com/wikiloc/find.do?q=egietako+gain,/com/mount/1193,1235,1
10024,"Bordas Viejas, Alto de las","http://www.wikiloc.com/wikiloc/find.do?q=bordas+viejas,+alto+de+las",/com/mount/1194,1265,1
10279,Ttutturru,http://www.wikiloc.com/wikiloc/find.do?q=ttutturru,/com/mount/1195,1282,1
10205,Txamantxoia / Maze,http://www.wikiloc.com/wikiloc/find.do?q=txamantxoia+/+maze,/com/mount/1198,1941,1
9225,Arbarain / Mugarrinagusi / Illarragorri,http://www.wikiloc.com/wikiloc/find.do?q=arbarain+/+mugarrinagusi+/+illarragorri,/com/mount/12,1118,1
10058,Txameni,http://www.wikiloc.com/wikiloc/find.do?q=txameni,/com/mount/1200,1299,1
10133,Txanburu,http://www.wikiloc.com/wikiloc/find.do?q=txanburu,/com/mount/1201,1136,1
10121,Txangoa,http://www.wikiloc.com/wikiloc/find.do?q=txangoa,/com/mount/1202,1466,1
10155,Txaruta / Larrazmendi,http://www.wikiloc.com/wikiloc/find.do?q=txaruta+/+larrazmendi,/com/mount/1203,1081,1
10173,Txorrotxarria / Ferniando,http://www.wikiloc.com/wikiloc/find.do?q=txorrotxarria+/+ferniando,/com/mount/1204,1522,1
10029,Txutxurru,http://www.wikiloc.com/wikiloc/find.do?q=txutxurru,/com/mount/1206,805,1
10062,Ukerdi,http://www.wikiloc.com/wikiloc/find.do?q=ukerdi,/com/mount/1208,2252,1
9188,Redecilla (Recilla),http://www.wikiloc.com/wikiloc/find.do?q=redecilla+(recilla),/com/mount/121,1376,1
10096,Ulizar,http://www.wikiloc.com/wikiloc/find.do?q=ulizar,/com/mount/1210,868,1
10043,Unanua,http://www.wikiloc.com/wikiloc/find.do?q=unanua,/com/mount/1211,654,1
10018,Unboto,http://www.wikiloc.com/wikiloc/find.do?q=unboto,/com/mount/1212,802,1
10102,Untzueko Haitza,http://www.wikiloc.com/wikiloc/find.do?q=untzueko+haitza,/com/mount/1213,987,1
10027,Urdanatz / Erbilarreta,http://www.wikiloc.com/wikiloc/find.do?q=urdanatz+/+erbilarreta,/com/mount/1214,1122,1
10480,Muskilda,http://www.wikiloc.com/wikiloc/find.do?q=muskilda,/com/mount/1215,1071,1
10083,Urkieta,http://www.wikiloc.com/wikiloc/find.do?q=urkieta,/com/mount/1216,866,1
10139,Urkulu,http://www.wikiloc.com/wikiloc/find.do?q=urkulu,/com/mount/1217,1423,1
10122,Ukua,http://www.wikiloc.com/wikiloc/find.do?q=ukua,/com/mount/1218,1061,1
9257,Recuenco,http://www.wikiloc.com/wikiloc/find.do?q=recuenco,/com/mount/122,1241,1
10126,Zarranzmendi,http://www.wikiloc.com/wikiloc/find.do?q=zarranzmendi,/com/mount/1220,887,1
10157,Pagadi,http://www.wikiloc.com/wikiloc/find.do?q=pagadi,/com/mount/1221,898,1
10154,Soratxipi,http://www.wikiloc.com/wikiloc/find.do?q=soratxipi,/com/mount/1222,1069,1
10054,Zuperrori,http://www.wikiloc.com/wikiloc/find.do?q=zuperrori,/com/mount/1223,1165,1
10132,Xuriain,http://www.wikiloc.com/wikiloc/find.do?q=xuriain,/com/mount/1224,1410,1
10285,Desaomendi,http://www.wikiloc.com/wikiloc/find.do?q=desaomendi,/com/mount/1225,1306,1
9258,Repico,http://www.wikiloc.com/wikiloc/find.do?q=repico,/com/mount/123,1188,1
10249,Larraitza,http://www.wikiloc.com/wikiloc/find.do?q=larraitza,/com/mount/1230,1055,1
10588,Auñamendi / Ania,http://www.wikiloc.com/wikiloc/find.do?q=aunamendi+/+ania,/com/mount/12301,2507,1
10541,Belastegi,http://www.wikiloc.com/wikiloc/find.do?q=belastegi,/com/mount/1232,790,1
10223,Santa Marina,http://www.wikiloc.com/wikiloc/find.do?q=santa+marina,/com/mount/1233,1064,1
10510,Murlong,http://www.wikiloc.com/wikiloc/find.do?q=murlong,/com/mount/1234,2053,1
10571,Orhitxipia,http://www.wikiloc.com/wikiloc/find.do?q=orhitxipia,/com/mount/1243,1925,1
9983,Aintziaga,http://www.wikiloc.com/wikiloc/find.do?q=aintziaga,/com/mount/1253,905,1
9987,Astate,http://www.wikiloc.com/wikiloc/find.do?q=astate,/com/mount/1255,1022,1
9236,Rodil,http://www.wikiloc.com/wikiloc/find.do?q=rodil,/com/mount/126,1029,1
10311,Budogia,http://www.wikiloc.com/wikiloc/find.do?q=budogia,/com/mount/1261,2368,1
10585,Salteburia,http://www.wikiloc.com/wikiloc/find.do?q=salteburia,/com/mount/12648,1031,1
10365,Kazteluxar,http://www.wikiloc.com/wikiloc/find.do?q=kazteluxar,/com/mount/12661,908,1
10580,Murrubeltza,http://www.wikiloc.com/wikiloc/find.do?q=murrubeltza,/com/mount/12665,1656,1
10277,Peñablanca,http://www.wikiloc.com/wikiloc/find.do?q=penablanca,/com/mount/1267,1266,1
